Path,URL,Size in bytes (optional but recommended),MD5 Hash (optional but recommended),Filter Terms (optional),Overwrite (optional),Comments (optional)
docs/Jaguar/Jaguar Manuals/!!System Manual (Atari Jaguar).pdf,https://archive.org/download/mister-manuals/1993_Atari%20Jaguar.zip/1993_Atari%20Jaguar%2F%21%21System%20Manual%20%28Atari%20Jaguar%29.pdf,2093464,ad00a3c599b46cb95f2a5c89fe2799e3,,,!!System Manual (Atari Jaguar).pdf
docs/Jaguar/Jaguar Manuals/AirCars.pdf,https://archive.org/download/mister-manuals/1993_Atari%20Jaguar.zip/1993_Atari%20Jaguar%2FAirCars.pdf,1128261,e90b45184bea1e8f7d4e278f98685806,,,AirCars.pdf
docs/Jaguar/Jaguar Manuals/Alien vs. Predator.pdf,https://archive.org/download/mister-manuals/1993_Atari%20Jaguar.zip/1993_Atari%20Jaguar%2FAlien%20vs.%20Predator.pdf,2857448,265a315631c6330a6c1673e756701368,,,Alien vs. Predator.pdf
docs/Jaguar/Jaguar Manuals/Atari Karts.pdf,https://archive.org/download/mister-manuals/1993_Atari%20Jaguar.zip/1993_Atari%20Jaguar%2FAtari%20Karts.pdf,1849724,3a91e8c785d3ed21cbc2e37b1f88174d,,,Atari Karts.pdf
docs/Jaguar/Jaguar Manuals/Attack of the Mutant Penguins.pdf,https://archive.org/download/mister-manuals/1993_Atari%20Jaguar.zip/1993_Atari%20Jaguar%2FAttack%20of%20the%20Mutant%20Penguins.pdf,1931572,5abc9cf40199852034232cc599a62eb3,,,Attack of the Mutant Penguins.pdf
docs/Jaguar/Jaguar Manuals/Barkley - Shut Up and Jam!.pdf,https://archive.org/download/mister-manuals/1993_Atari%20Jaguar.zip/1993_Atari%20Jaguar%2FBarkley%20-%20Shut%20Up%20and%20Jam%21.pdf,220264,5b01c6e32047e875cb69992bb3ca4a17,,,Barkley - Shut Up and Jam!.pdf
docs/Jaguar/Jaguar Manuals/Battle Sphere Gold.pdf,https://archive.org/download/mister-manuals/1993_Atari%20Jaguar.zip/1993_Atari%20Jaguar%2FBattle%20Sphere%20Gold.pdf,2749869,346eaeb4e5d354af9fb5827544d77b0a,,,Battle Sphere Gold.pdf
docs/Jaguar/Jaguar Manuals/Breakout 2000.pdf,https://archive.org/download/mister-manuals/1993_Atari%20Jaguar.zip/1993_Atari%20Jaguar%2FBreakout%202000.pdf,1204296,7e52ef43bbd665d0f9b0641f0d873a3c,,,Breakout 2000.pdf
docs/Jaguar/Jaguar Manuals/Brett Hull Hockey.pdf,https://archive.org/download/mister-manuals/1993_Atari%20Jaguar.zip/1993_Atari%20Jaguar%2FBrett%20Hull%20Hockey.pdf,115125,1227049d849665a3f805964a74791335,,,Brett Hull Hockey.pdf
docs/Jaguar/Jaguar Manuals/Brutal Sports Football.pdf,https://archive.org/download/mister-manuals/1993_Atari%20Jaguar.zip/1993_Atari%20Jaguar%2FBrutal%20Sports%20Football.pdf,1006892,0c25ad1e777cec8f404443d468b329d7,,,Brutal Sports Football.pdf
docs/Jaguar/Jaguar Manuals/Bubsy in Fractured Furry Tales.pdf,https://archive.org/download/mister-manuals/1993_Atari%20Jaguar.zip/1993_Atari%20Jaguar%2FBubsy%20in%20Fractured%20Furry%20Tales.pdf,1830082,edab7c86134ac68d52f3d90cf0ab93dc,,,Bubsy in Fractured Furry Tales.pdf
docs/Jaguar/Jaguar Manuals/Cannon Fodder.pdf,https://archive.org/download/mister-manuals/1993_Atari%20Jaguar.zip/1993_Atari%20Jaguar%2FCannon%20Fodder.pdf,1469895,95fd52e316c839138684c41911256025,,,Cannon Fodder.pdf
docs/Jaguar/Jaguar Manuals/Checkered Flag.pdf,https://archive.org/download/mister-manuals/1993_Atari%20Jaguar.zip/1993_Atari%20Jaguar%2FCheckered%20Flag.pdf,1279205,412e7f9a574fb2a5180987856286da17,,,Checkered Flag.pdf
docs/Jaguar/Jaguar Manuals/Club Drive.pdf,https://archive.org/download/mister-manuals/1993_Atari%20Jaguar.zip/1993_Atari%20Jaguar%2FClub%20Drive.pdf,1044442,0c4a9dc2e63b8088710b0d4b464e65a7,,,Club Drive.pdf
docs/Jaguar/Jaguar Manuals/Cybermorph.pdf,https://archive.org/download/mister-manuals/1993_Atari%20Jaguar.zip/1993_Atari%20Jaguar%2FCybermorph.pdf,915804,85959181f03037755ac89bcf5e9d3e2d,,,Cybermorph.pdf
docs/Jaguar/Jaguar Manuals/DOOM.pdf,https://archive.org/download/mister-manuals/1993_Atari%20Jaguar.zip/1993_Atari%20Jaguar%2FDOOM.pdf,2579577,e23af2e7429fdde19fb1bada0e2409bb,,,DOOM.pdf
docs/Jaguar/Jaguar Manuals/Defender 2000.pdf,https://archive.org/download/mister-manuals/1993_Atari%20Jaguar.zip/1993_Atari%20Jaguar%2FDefender%202000.pdf,1503687,a6e3796c081c89f96a43b1ebbc882212,,,Defender 2000.pdf
